DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 10:25:00,TR3659,150,Narrow,3,W,TR,T5CW001R,2040-12-05 07:55:00,2040-12-05 09:55:00,MUC206,,Narrow,Narrow,NO,MUC206,1
2040-12-05 10:25:00,TZ82,306,Wide,7,E,TZ,T5CE006,2040-12-05 07:55:00,2040-12-05 09:55:00,MUC101,,Wide,Wide,NO,MUC101,1
2040-12-05 10:30:00,TR1984,216,Narrow,3,E,TR,T5CE009L,2040-12-05 08:00:00,2040-12-05 10:00:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 10:45:00,TZ3602,139,Wide,7,E,TZ,T5CE003,2040-12-05 08:15:00,2040-12-05 10:15:00,MUC103,,Wide,Wide,NO,MUC103,1
2040-12-05 11:00:00,TR2742,217,Narrow,3,E,TR,T5CE009R,2040-12-05 08:30:00,2040-12-05 10:30:00,MUC201,,Narrow,Narrow,NO,MUC201,1
2040-12-05 11:00:00,TZ226,161,Wide,7,W,TZ,T5CW005,2040-12-05 08:30:00,2040-12-05 10:30:00,MUC208,,Wide,Wide,NO,MUC208,1
2040-12-05 11:00:00,TR2640,151,Narrow,3,W,TR,T5CW008L,2040-12-05 08:30:00,2040-12-05 10:30:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 11:25:00,TZ5511,141,Wide,7,E,TZ,T5CE001,2040-12-05 08:55:00,2040-12-05 10:55:00,MUC202,,Wide,Wide,NO,MUC202,1
2040-12-05 11:55:00,TR2176,415,Narrow,3,W,TR,T5CW003L,2040-12-05 09:25:00,2040-12-05 11:25:00,MUC209,,Narrow,Narrow,NO,MUC209,1
2040-12-05 12:00:00,TR84,172,Narrow,3,W,TR,T5CW011R,2040-12-05 09:30:00,2040-12-05 11:30:00,MUC210,,Narrow,Narrow,NO,MUC210,1
2040-12-05 12:00:00,TR3631,253,Narrow,3,W,TR,T5CW006R,2040-12-05 09:30:00,2040-12-05 11:30:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 12:00:00,TR2996,283,Narrow,3,W,TR,T5CW011L,2040-12-05 09:30:00,2040-12-05 11:30:00,MUC106,,Narrow,Narrow,NO,MUC106,1
2040-12-05 12:15:00,TZ206,165,Wide,7,W,TZ,T5CW009,2040-12-05 09:45:00,2040-12-05 11:45:00,MUC107,,Wide,Wide,NO,MUC107,1
2040-12-05 12:15:00,TZ5525,243,Wide,7,E,TZ,T5CE010,2040-12-05 09:45:00,2040-12-05 11:45:00,MUC203,,Wide,Wide,NO,MUC203,1
2040-12-05 12:30:00,TZ8,199,Wide,7,E,TZ,T5CE004,2040-12-05 10:00:00,2040-12-05 12:00:00,MUC204,,Wide,Wide,NO,MUC204,1
2040-12-05 12:35:00,TR2104,248,Narrow,3,W,TR,T5CW007R,2040-12-05 10:05:00,2040-12-05 12:05:00,MUC108,,Narrow,Narrow,NO,MUC108,1
2040-12-05 12:50:00,TR3615,189,Narrow,3,E,TR,T5CE005R,2040-12-05 10:20:00,2040-12-05 12:20:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 12:50:00,TR3647,207,Narrow,3,W,TR,T5CW007L,2040-12-05 10:20:00,2040-12-05 12:20:00,MUC109,,Narrow,Narrow,NO,MUC109,1
2040-12-05 12:55:00,TR2904,661,Narrow,3,E,TR,T5CE008L,2040-12-05 10:25:00,2040-12-05 12:25:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 13:00:00,TR8,255,Narrow,3,E,TR,T5CE005L,2040-12-05 10:30:00,2040-12-05 12:30:00,MUC103,,Narrow,Narrow,NO,MUC103,1
2040-12-05 13:00:00,TR2324,212,Narrow,3,W,TR,T5CW003L,2040-12-05 10:30:00,2040-12-05 12:30:00,MUC110,,Narrow,Narrow,NO,MUC110,1
2040-12-05 13:20:00,TR3629,226,Narrow,3,W,TR,T5CW001L,2040-12-05 10:50:00,2040-12-05 12:50:00,MUC205,,Narrow,Narrow,NO,MUC205,1
2040-12-05 13:20:00,TR2132,519,Narrow,3,W,TR,T5CW011L,2040-12-05 10:50:00,2040-12-05 12:50:00,MUC206,,Narrow,Narrow,NO,MUC206,1
2040-12-05 13:35:00,TR3669,336,Narrow,3,W,TR,T5CW003R,2040-12-05 11:05:00,2040-12-05 13:05:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 14:00:00,TZ5515,218,Wide,7,E,TZ,T5CE003,2040-12-05 11:30:00,2040-12-05 13:30:00,MUC201,,Wide,Wide,NO,MUC201,1
2040-12-05 14:00:00,TR2066,213,Narrow,3,E,TR,T5CE008L,2040-12-05 11:30:00,2040-12-05 13:30:00,MUC104,,Narrow,Narrow,NO,MUC104,1
2040-12-05 14:00:00,TZ3607,200,Wide,7,W,TZ,T5CW009,2040-12-05 11:30:00,2040-12-05 13:30:00,MUC208,,Wide,Wide,NO,MUC208,1
2040-12-05 14:00:00,TR2702,343,Narrow,3,W,TR,T5CW003L,2040-12-05 11:30:00,2040-12-05 13:30:00,MUC209,,Narrow,Narrow,NO,MUC209,1
2040-12-05 14:30:00,TR2424,238,Narrow,3,W,TR,T5CW007R,2040-12-05 12:00:00,2040-12-05 14:00:00,MUC210,,Narrow,Narrow,NO,MUC210,1
2040-12-05 14:30:00,TR80,247,Narrow,3,E,TR,T5CE005R,2040-12-05 12:00:00,2040-12-05 14:00:00,MUC202,,Narrow,Narrow,NO,MUC202,1
2040-12-05 14:40:00,TR2458,227,Narrow,3,W,TR,T5CW007L,2040-12-05 12:10:00,2040-12-05 14:10:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 15:20:00,TR2288,256,Narrow,3,W,TR,T5CW001L,2040-12-05 12:50:00,2040-12-05 14:50:00,MUC106,,Narrow,Narrow,NO,MUC106,1
2040-12-05 15:20:00,TR2482,594,Narrow,3,E,TR,T5CE008L,2040-12-05 12:50:00,2040-12-05 14:50:00,MUC203,,Narrow,Narrow,NO,MUC203,1
2040-12-05 15:30:00,TR2328,276,Narrow,3,W,TR,T5CW011L,2040-12-05 13:00:00,2040-12-05 15:00:00,MUC108,,Narrow,Narrow,NO,MUC108,1
2040-12-05 15:30:00,TR2112,246,Narrow,3,W,TR,T5CW007R,2040-12-05 13:00:00,2040-12-05 15:00:00,MUC107,,Narrow,Narrow,NO,MUC107,1
2040-12-05 15:55:00,TR2476,386,Narrow,3,W,TR,T5CW003R,2040-12-05 13:25:00,2040-12-05 15:25:00,MUC109,,Narrow,Narrow,NO,MUC109,1
2040-12-05 16:00:00,TR1978,311,Narrow,3,E,TR,T5CE009L,2040-12-05 13:30:00,2040-12-05 15:30:00,MUC204,,Narrow,Narrow,NO,MUC204,1
2040-12-05 16:05:00,TZ5509,272,Wide,7,W,TZ,T5CW009,2040-12-05 13:35:00,2040-12-05 15:35:00,MUC110,,Wide,Wide,NO,MUC110,1
2040-12-05 16:15:00,TR1976,324,Narrow,3,E,TR,T5CE005R,2040-12-05 13:45:00,2040-12-05 15:45:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 16:20:00,TR3607,327,Narrow,3,W,TR,T5CW007L,2040-12-05 13:50:00,2040-12-05 15:50:00,MUC205,,Narrow,Narrow,NO,MUC205,1
2040-12-05 16:35:00,TR2464,290,Narrow,3,E,TR,T5CE008L,2040-12-05 14:05:00,2040-12-05 16:05:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 16:45:00,TZ5517,332,Wide,7,E,TZ,T5CE001,2040-12-05 14:15:00,2040-12-05 16:15:00,MUC103,,Wide,Wide,NO,MUC103,1
2040-12-05 17:00:00,TR3653,317,Narrow,3,W,TR,T5CW003L,2040-12-05 14:30:00,2040-12-05 16:30:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 17:00:00,TR2068,284,Narrow,3,W,TR,T5CW007R,2040-12-05 14:30:00,2040-12-05 16:30:00,MUC206,,Narrow,Narrow,NO,MUC206,1
2040-12-05 17:10:00,TZ108,303,Wide,7,E,TZ,T5CE003,2040-12-05 14:40:00,2040-12-05 16:40:00,MUC104,,Wide,Wide,NO,MUC104,1
2040-12-05 17:30:00,TR2656,291,Narrow,3,W,TR,T5CW007L,2040-12-05 15:00:00,2040-12-05 17:00:00,MUC208,,Narrow,Narrow,NO,MUC208,1
2040-12-05 17:35:00,TZ302,330,Wide,7,W,TZ,T5CW005,2040-12-05 15:05:00,2040-12-05 17:05:00,MUC209,,Wide,Wide,NO,MUC209,1
2040-12-05 17:35:00,TR3637,591,Narrow,3,E,TR,T5CE008L,2040-12-05 15:05:00,2040-12-05 17:05:00,MUC202,,Narrow,Narrow,NO,MUC202,1
2040-12-05 17:35:00,TZ336,337,Wide,7,E,TZ,T5CE004,2040-12-05 15:05:00,2040-12-05 17:05:00,MUC201,,Wide,Wide,NO,MUC201,1
2040-12-05 17:40:00,TR3666,461,Narrow,3,W,TR,T5CW011L,2040-12-05 15:10:00,2040-12-05 17:10:00,MUC210,,Narrow,Narrow,NO,MUC210,1
2040-12-05 17:50:00,TR2726,371,Narrow,3,W,TR,T5CW003R,2040-12-05 15:20:00,2040-12-05 17:20:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 18:00:00,TR2108,335,Narrow,3,W,TR,T5CW011R,2040-12-05 15:30:00,2040-12-05 17:30:00,MUC106,,Narrow,Narrow,NO,MUC106,1
2040-12-05 18:00:00,TR76,529,Narrow,3,W,TR,T5CW007R,2040-12-05 15:30:00,2040-12-05 17:30:00,MUC107,,Narrow,Narrow,NO,MUC107,1
2040-12-05 18:05:00,TR2968,444,Narrow,3,E,TR,T5CE005R,2040-12-05 15:35:00,2040-12-05 17:35:00,MUC203,,Narrow,Narrow,NO,MUC203,1
2040-12-05 18:10:00,TR2272,368,Narrow,3,W,TR,T5CW001L,2040-12-05 15:40:00,2040-12-05 17:40:00,MUC108,,Narrow,Narrow,NO,MUC108,1
2040-12-05 18:15:00,TR3639,416,Narrow,3,E,TR,T5CE005L,2040-12-05 15:45:00,2040-12-05 17:45:00,MUC204,,Narrow,Narrow,NO,MUC204,1
2040-12-05 18:20:00,TR2158,369,Narrow,3,E,TR,T5CE009L,2040-12-05 15:50:00,2040-12-05 17:50:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 18:35:00,TR1974,344,Narrow,3,W,TR,T5CW003L,2040-12-05 16:05:00,2040-12-05 18:05:00,MUC109,,Narrow,Narrow,NO,MUC109,1
2040-12-05 18:50:00,TR2426,334,Narrow,3,E,TR,T5CE008L,2040-12-05 16:20:00,2040-12-05 18:20:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 19:00:00,TR2952,525,Narrow,3,W,TR,T5CW011L,2040-12-05 16:30:00,2040-12-05 18:30:00,MUC205,,Narrow,Narrow,NO,MUC205,1
2040-12-05 19:00:00,TR78,345,Narrow,3,E,TR,T5CE010R,2040-12-05 16:30:00,2040-12-05 18:30:00,MUC103,,Narrow,Narrow,NO,MUC103,1
2040-12-05 19:00:00,TR70,396,Narrow,3,W,TR,T5CW007R,2040-12-05 16:30:00,2040-12-05 18:30:00,MUC110,,Narrow,Narrow,NO,MUC110,1
2040-12-05 19:10:00,TR2466,477,Narrow,3,W,TR,T5CW003R,2040-12-05 16:40:00,2040-12-05 18:40:00,MUC206,,Narrow,Narrow,NO,MUC206,1
2040-12-05 19:15:00,TR1972,349,Narrow,3,E,TR,T5CE006,2040-12-05 16:45:00,2040-12-05 18:45:00,MUC104,,Narrow,Narrow,NO,MUC104,1
2040-12-05 19:15:00,TR72,393,Narrow,3,W,TR,T5CW007L,2040-12-05 16:45:00,2040-12-05 18:45:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 19:15:00,TR2332,394,Narrow,3,E,TR,T5CE009R,2040-12-05 16:45:00,2040-12-05 18:45:00,MUC201,,Narrow,Narrow,NO,MUC201,1
2040-12-05 19:20:00,TR3649,442,Narrow,3,W,TR,T5CW001L,2040-12-05 16:50:00,2040-12-05 18:50:00,MUC209,,Narrow,Narrow,NO,MUC209,1
2040-12-05 19:25:00,TR90,498,Narrow,3,W,TR,T5CW011R,2040-12-05 16:55:00,2040-12-05 18:55:00,SPLIT,,Narrow,Narrow,NO,MUC210+MUC105+MUC106,3
2040-12-05 19:30:00,TR68,597,Narrow,3,E,TR,T5CE009L,2040-12-05 17:00:00,2040-12-05 19:00:00,SPLIT,,Narrow,Narrow,NO,MUC203+MUC204+MUC101,3
2040-12-05 19:30:00,TZ3627,350,Wide,7,E,TZ,T5CE003,2040-12-05 17:00:00,2040-12-05 19:00:00,MUC202,,Wide,Wide,NO,MUC202,1
